bill_code,name,category_id,barcode,tax_id,mrp,selling_price,cost_price,landing_cost,stock_qty
70570047,TIGER BALM,COSMETICS,8888650419029,GST 18%,47,47,41.95,41.95,13
70580480,FAIZA LOTION MRP 490,COSMETICS,743690086885,GST 18%,490,480,371.2,371.2,0
70590480,FAIZA SHAMPOO MRP 490,COSMETICS,743690086861,GST 18%,490,480,371.13,371.13,1
70600245,BACTO V MRP 249,COSMETICS,8902979055543,GST 18%,249,245,215,215,1
70610115,NYLE SPRAY MRP 115,COSMETICS,8902979055635,GST 18%,115,115,100.01,100.01,8
70620195,PA ALAXANDER,COSMETICS,8901277015419,GST 18%,199,199,173.3,173.3,1
70630199,PA COOL BLUE,COSMETICS,8901277008442,GST 18%,199,195,173.3,173.3,1
70640125,PA AFTER SHAVE,COSMETICS,8901277016393,GST 18%,125,125,108.83,108.83,1
70650135,PA AFTER SHAVE,COSMETICS,8901277012074,GST 18%,135,135,117.53,117.53,1
70660199,PA INTENSE ,COSMETICS,8901277016348,GST 18%,199,195,172.16,172.16,0
70670220,RAMTIRTH BRAHMI OIL MRP 225,COSMETICS,8901677001029,GST 18%,225,220,174.6,174.6,1
70680165,Z TALC MRP 165,COSMETICS,8906015120035,GST 18%,165,165,125.21,125.21,4
70690110,Z TALC MRP 110,COSMETICS,8906015120028,GST 18%,110,110,91.81,91.81,2
70700060,Z TALC MRP 60,COSMETICS,8906015120011,GST 18%,60,60,50.05,50.05,1
A09270720,SCOOBY DAY MRP 750,BAGS,9000096900018,GST 18%,750,720,563,563,4
A09280550,SCOOBY DAY MRP 570,BAGS,9000096910017,GST 18%,570,550,427,427,4
A09290645,SCOOBY DAY MRP 665,BAGS,9000096920016,GST 18%,665,645,499.25,499.25,4
A09300410,SCOOBY DAY MRP430,BAGS,9000096930015,GST 18%,430,410,317,317,12
A09310830,SCOOBY DAY BAG MRP 860,BAGS,9000096940014,GST 18%,860,830,645,645,3
70710450,LOTUS NUTRAMOIST MRP 455,COSMETICS,806360790502,GST 18%,455,450,371.94,371.94,0
A07880002,CRAFT PAPER MRP 3,STUDY METIRIALS,9000096960012,GST 18%,3,2,0.9,0.9,-14
A07300240,KITCHEN SET,TOYS,9000096970011,GST 12%,270,240,140,140,0
70710049,EVERYUTH FACEWASH MRP 60,COSMETICS,8901548147436,GST 18%,60,60,51.97,51.97,2
70720075,EVERYUTH PEEL OFF MASK,COSMETICS,8901548147191,GST 18%,75,75,64.92,64.92,0
70730175,PARACHUTE MRP 175,COSMETICS,8901088150071,GST 18%,175,175,177.22,177.22,-1
70740089,PARACHUTE MRP 89,COSMETICS,8901088150729,GST 18%,89,89,80.29,80.29,1
70750120,VEET MRP 120,COSMETICS,8901396331308,GST 18%,120,120,106.89,106.89,1
70760063,VEET MRP 63,COSMETICS,8901396331254,GST 18%,63,63,56.21,56.21,4
70770070,EVERYUTH MRP 70,COSMETICS,9000097040010,GST 18%,70,70,60.63,60.63,4
70780035,EVERYUTH MRP 35,COSMETICS,8901548143629,GST 18%,35,35,30.33,30.33,1
70790100,MEDIKAR MRP 100,COSMETICS,8901088178976,GST 18%,100,100,90.82,90.82,-1
70800070,SETWET MRP 70,COSMETICS,8901088138109,GST 18%,70,70,62.94,62.94,2
70810170,SET WET MRP 170,COSMETICS,8901088138130,GST 18%,170,170,152.86,152.86,1
70820170,SET WET MRP 170,COSMETICS,8901088138123,GST 18%,170,170,152.86,152.86,1
70830050,COCO ALOE MRP 50,COSMETICS,8901088157629,GST 18%,50,50,43.58,43.58,0
70840049,VEET MRP 49,COSMETICS,8901396345107,GST 18%,49,49,43.67,43.67,2
A09321180,CYCLE MRP ,TOYS,9000097120019,GST 18%,1335,1180,785,785,-1
A09331100,CYCLE MRP 1245,TOYS,9000097130018,GST 18%,1245,1100,730,730,0
A09340980,HORSE MRP 1110,TOYS,9000097140017,GST 18%,1110,980,650,650,0
A09351580,COLOUR VEHICLE MRP 1790,TOYS,9000097150016,GST 18%,1790,1580,1050,1050,0
A09362100,CAR MRP 2380,TOYS,9000097160015,GST 18%,2380,2100,1400,1400,0
A09372325,CAR MRP 2640,TOYS,9000097170014,GST 18%,2640,2325,1550,1550,0
70850900,CLOTH CRADLE MRP 960,TOYS,9000097180013,GST 18%,960,900,519.07,519.07,1
708601150,CLOTH CRADLE MRP 1185,TOYS,9000097190012,GST 18%,1185,1150,656,656,2
70870730,BABY CRADLE MRP 755,TOYS,9000097200018,GST 18%,755,730,419.41,419.41,2
70880075,HIMALAYA BRIGHTENING FACE WASH,COSMETICS,8901138822286,GST 18%,75,75,65.255,65.255,4
70890310,HIMALAYA BODY LOTION MRP 310,COSMETICS,8901138842710,GST 18%,310,310,273.37,273.37,2
70900095,HIMALAYA TONER MRP 95,COSMETICS,8901138510329,GST 18%,95,95,78.57,78.57,4
70910130,HIMALAYA DRYNESS DEFENCE MRP 130,COSMETICS,8901138505806,GST 18%,130,130,114.63,114.63,5
70920050,HIMALAYA PURE HANDS MRP 50,COSMETICS,8901138844721,GST 18%,50,50,44.09,44.09,24
70930020,HI TOOTHPASTE MRP 20,COSMETICS,8901138712280,GST 18%,20,20,18.172,18.172,5
70940048,HI GEL NORMAL MRP 48,COSMETICS,8901138838294,GST 18%,48,48,42.325,42.325,2
70950048,HI GEL MRP 48 STRONG,COSMETICS,8901138838317,GST 18%,48,48,42.32,42.32,3
70960048,HI MEN GEL MRP 48,COSMETICS,8901138838331,GST 18%,48,48,42.325,42.325,2
70970165,HI PROTEIN CONDITIONER MRP 165,COSMETICS,8901138816308,GST 18%,165,165,145.5,145.5,2
70980090,HI DR PROTEIN CONDITIONER MRP 90,COSMETICS,8901138510305,GST 18%,90,90,79.355,79.355,2
70990090,HI DD CONDITIONER MRP 90,COSMETICS,8901138513344,GST 18%,90,90,79.355,79.355,4
A09180070,MAYFIELD MRP 75,FOOTWEAR,9000097330012,GST 5%,75,70,36,36,4
A09250070,WELL TOP MRP 95,FOOTWEAR,9000097340011,GST 5%,95,70,32.28,32.28,17
A09190100,MAYFIELD MRP 109,FOOTWEAR,9000097350010,GST 5%,109,100,56.13,56.13,5
A09200070,MAYFIELD MRP 79,FOOTWEAR,9000097360019,GST 5%,79,75,38.5,38.5,6
A09210090,MAYFIEL MRP 99,FOOTWEAR,9000097370018,GST 5%,99,90,56.08,56.08,12
A09220090,MAYFIELD MRP 99,FOOTWEAR,9000097380017,GST 5%,99,90,61.75,61.75,6
A09230100,MAYFIELD MRP 109,FOOTWEAR,9000097390016,GST 5%,109,100,61.75,61.75,5
A09240080,PACIFIC GASCO MRP 100,FOOTWEAR,9000097400012,GST 5%,100,80,36.12,36.12,36
A09260320,MICRLON MRP 340,FOOTWEAR,9000097410011,GST 5%,340,320,193.15,193.15,15
71000015,DAZLLER FW MRP 15,COSMETICS,8906029309396,GST 18%,15,15,5.07,5.07,12
71010290,LOTUS SAFE SUN MRP 299,COSMETICS,9000097430019,GST 18%,299,290,244.41,244.41,1
71020430,LOTUS SAFE SUN MRP 440,COSMETICS,806360751008,GST 18%,440,430,359.66,359.66,2
71030120,CATER MASK MRP 125,DRESS,1111219,GST 5%,125,120,68,68,44
A09380110,OUDH MRP 125,COSMETICS,9000097460016,GST 12%,125,110,70,70,0
71040120,OLD SPICE MRP 120,COSMETICS,4902430785211,GST 18%,120,120,106.07,106.07,0
71050120,OLD SPICE LIME MRP 120,COSMETICS,4902430785198,GST 18%,120,120,106.07,106.07,3
71060120,OLDSPICE ORIGINAL MRP 120,COSMETICS,4902430785174,GST 18%,120,120,106.07,106.07,-1
71070125,GILLETTE FOAM MRP 125,COSMETICS,4902430930499,GST 18%,125,125,110.49,110.49,1
71080185,HS SHAMPOO+ COND MRP 185,COSMETICS,4902430908078,GST 18%,185,185,144.63,144.63,1
71090068,HS ANTI HAIR FALL MRP 68,COSMETICS,4902430772914,GST 18%,68,68,53.17,53.17,2
71100080,HS ANTI DANDRUFF MRP 80,COSMETICS,4902430908115,GST 18%,80,80,62.5,62.5,0
71110080,HS COOL MENTHOL MRP 80,COSMETICS,4902430908108,GST 18%,80,80,62.5,62.5,1
71120068,HS SILKY BLACK MRP 68,COSMETICS,4902430772952,GST 18%,68,68,53.165,53.165,2
71130022,GILLETTE 7OCLOCK MRP 22,COSMETICS,4902430684224,GST 18%,22,22,19.11,19.11,9
71140220,GILLETTE MRP 220,COSMETICS,4902430921770,GST 18%,220,220,196.22,196.22,2
71150068,HS COOL MENTHOL MRP 68,COSMETICS,4902430772938,GST 18%,68,68,53.165,53.165,2
71160068,HS SHAMPOO MRP 68,COSMETICS,4902430772969,GST 18%,68,68,53.165,53.165,2
71170115,PAMPERS M 8s MRP 115,TOYS,4902430899512,GST 12%,115,110,96,96,2
71180120,PAMPERS L 7s MRP 125,TOYS,4902430899536,GST 12%,125,120,104.35,104.35,0
71190140,PAMPERS XL 7s MRP 145,TOYS,4902430814676,GST 12%,145,140,121.04,121.04,2
71200099,PAMPERS S 9s MRP 99,TOYS,4902430899499,GST 12%,99,95,82.65,82.65,2
71210099,PAMPERS XS 10 s MRP 99,TOYS,4902430899482,GST 12%,99,95,82.65,82.65,1
70220055,PAMPERS L 4s MRP 56,TOYS,4902430814621,GST 12%,56,55,46.75,46.75,4
70230047,PAMPERS M 4S MRP 48,TOYS,4902430814614,GST 12%,48,47,40.07,40.07,5
70240040,PAMPERS S 4s MRP 40,TOYS,4902430814607,GST 12%,40,40,33.35,33.35,6
70250028,PAMPERS 2*4 L MRP 28,TOYS,4902430814591,GST 12%,28,28,23.375,23.375,9
70260024,PAMPERS 2*4 M MRP 24,TOYS,4902430814577,GST 12%,24,24,20.036,20.036,16
70270020,PAMPERS 2*4 S MRP 20,TOYS,4902430814553,GST 12%,20,20,16.69,16.69,16
70280032,PAMPERS 2*4 XL MRP 32,TOYS,4902430864152,GST 12%,32,32,26.71,26.71,10
70290080,SLIPONS MRP 84,FOOTWEAR,9000097720011,GST 5%,84,80,60.8,60.8,12
7030090,SLIPONS MRP 94.50,FOOTWEAR,9000097730010,GST 5%,94.5,90,68.4,68.4,12
70310100,SLIPONS MRP 104.50,FOOTWEAR,9000097740019,GST 5%,104.5,100,75.05,75.05,12
70320230,FRAGNOSS MRP 239,FOOTWEAR,9000097750018,GST 5%,239,230,160.55,160.55,13
A09380190,DOVE CREAM MRP 200,COSMETICS,9000097760017,GST 18%,200,190,122,122,-5
A09390105,YARDLEY MRP 120,COSMETICS,9000097770016,GST 18%,125,105,75,75,-2
A09400360,YARDLEY HAIR CREAM MRP 390,COSMETICS,9000097780015,GST 18%,390,360,255,255,0
A09410210,FAIZA MRP 220,COSMETICS,9000097790014,GST 18%,220,210,170,170,-2
A09420700,ENCHANTEUR BODY LOTION MRP 800,COSMETICS,9000097800010,GST 18%,800,700,360,360,-1
A09430280,BLUELADY MRP 299,COSMETICS,9000097810019,GST 18%,299,280,182,182,-3
A09440075,BLUELADY ATHAR MRP 85,COSMETICS,9000097820018,GST 18%,85,75,45,45,-4
A09450380,NOVA HAIR DRYER MRP 390,COSMETICS,9000097830017,GST 18%,390,380,290,290,-1
A09461160,GEEPAS HAIR DRYER MRP 1300,COSMETICS,9000097840016,GST 18%,1300,1160,760,760,0
A09471400,GEEPAS HAIR DRYER MRP 1610,COSMETICS,9000097850015,GST 18%,1610,1400,950,950,0
70340010,VIVEL MRP 10,COSMETICS,8905110000808,GST 18%,10,10,8.99,8.99,6
70330150,FIAMA HANDWASH MRP 150,COSMETICS,8901725924607,GST 18%,150,150,129.81,129.81,1
70350150,FIAMA HANDWASH MRP 150,COSMETICS,8901725924508,GST 18%,150,150,129.81,129.81,3
70360130,FAIR & LOVELY MRP 133,COSMETICS,8901030736087,GST 18%,133,130,120.91,120.91,3
70370038,PEARS MRP 38,COSMETICS,8901030766947,GST 18%,38,38,34.13,34.13,17
70380085,FAIR & LOVELY MRP 85,COSMETICS,8901030741562,GST 18%,85,85,77.27,77.27,2
70390025,LIFEBUOY SANITIZER MRP 25,COSMETICS,8901030821653,GST 18%,25,25,22.5,22.5,40
70400149,LIFEBUOY SPRAY MRP 149,COSMETICS,8901030812873,GST 18%,149,149,124.17,124.17,1
70410025,DHATRI MANJAL MRP 25,COSMETICS,8904070900142,GST 18%,25,25,19.73,19.73,2
70420240,FC CANVAS MRP 250,STUDY METIRIALS,9000097950012,GST 12%,250,240,187.49,187.49,1
70430210,FC CANVAS MRP 220,STUDY METIRIALS,9000097960011,GST 12%,220,210,165,165,1
70440160,FC CANVAS MRP 165,STUDY METIRIALS,9000097970010,GST 12%,165,160,123.75,123.75,1
70450090,FC CANVAS MRP 90,STUDY METIRIALS,9000097980019,GST 12%,90,90,67.51,67.51,1
70460038,FEM HAND WASH MRP 38,COSMETICS,8901103161105,GST 18%,38,38,33.25,33.25,5
A09480210,ANGLET MRP 255,ORNAMENTS,9000098000013,GST 3%,255,210,125,125,4
A09490185,ANGLET MRP 225,ORNAMENTS,9000098010012,GST 3%,225,185,110,110,6
A09500100,BRACELET MRP 125,ORNAMENTS,9000098020011,GST 3%,125,100,60,60,3
A09510085,BARACELET MRP 105,ORNAMENTS,9000098030010,GST 3%,105,85,50,50,2
A09520115,BRACELET MRP 145,ORNAMENTS,9000098040019,GST 3%,145,115,70,70,3
A09530165,BRACELET MRP 200,ORNAMENTS,9000098050018,GST 3%,200,165,100,100,2
A09540235,BRACELET MRP 280,ORNAMENTS,9000098060017,GST 3%,280,235,140,140,1
A09550035,SECOND STUD MRP 45,ORNAMENTS,9000098070016,GST 3%,45,35,20,20,8
A09560065,NOSE PIN MRP85,ORNAMENTS,9000098080015,GST 3%,85,65,40,40,7
A09570075,NOSEPIN MRP 95,ORNAMENTS,9000098090014,GST 3%,95,75,45,45,6
A09580075,SECOND STUD MRP 95,ORNAMENTS,9000098100010,GST 3%,95,75,45,45,4
A09590060,STUD MRP 75,ORNAMENTS,9000098110019,GST 3%,75,60,35,35,7
A09600075,STUD MRP 95,ORNAMENTS,9000098120018,GST 3%,95,75,45,45,18
A09610095,STUD MRP 120,ORNAMENTS,9000098130017,GST 3%,120,95,55,55,13
A09620110,STUD MRP135,ORNAMENTS,9000098140016,GST 3%,135,110,65,65,7
A09630125,STUD MRP 155,ORNAMENTS,9000098150015,GST 3%,155,125,75,75,12
A09640140,STUD MRP 175,ORNAMENTS,9000098160014,GST 3%,175,140,85,85,3
A09650140,STUD MRP 205,ORNAMENTS,9000098170013,GST 3%,205,165,100,100,5
A09660160,STUD MRP 200,ORNAMENTS,9000098180012,GST 3%,200,160,90,90,-2
A09670185,STUD MRP 225,ORNAMENTS,9000098190011,GST 3%,225,185,110,110,6
A09680215,STUD MRP 265,ORNAMENTS,9000098200017,GST 3%,265,215,130,130,-4
A09690230,STUD MRP 290,ORNAMENTS,9000098210016,GST 3%,290,230,140,140,3
70470190,GUBB EYELASH CURLER MRP 199,COSMETICS,8906000422755,GST 12%,199,190,139.3,139.3,2
70480125,GUBB EYELASH CURLER MRP 129,COSMETICS,8906000426234,GST 12%,129,125,90.305,90.305,2
70490370,GUBB NAIL NIPPER MRP 379,COSMETICS,8906000426227,GST 12%,379,370,265.3,265.3,0
70500120,GUBB OIL ABSORBING SHEET MRP 129,COSMETICS,8906000426647,GST 12%,129,120,90.305,90.305,2
70510190,GUBB TWEEZER MRP 199,COSMETICS,8906000426500,GST 12%,199,190,139.3,139.3,0
70520035,RANGEELA CREATIVE CLAY MRP 35,STUDY METIRIALS,8901860621072,GST 18%,35,35,22.95,22.95,6
70530095,RANGEELA BUCKET DOUGH MRP 100,STUDY METIRIALS,8901860621058,GST 12%,100,95,70.97,70.97,3
70540155,RANGEELA MOULDING DOUGH MRP 160,STUDY METIRIALS,8901860621034,GST 12%,160,155,108.64,108.64,1
