suppliername,invoiceno,taxtype,gst(y/n),itemname,qty,cp,mrp,sp,framemultipletype(y/n),frametype,framecolour,framesize,framemodel
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,LENIN VICTORY,1,200,1100,1100,N,NONE,NONE,NONE,98221
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,SPORT,1,200,600,600,N,NONE,NONE,NONE,SPORT 003
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,COPS,1,200,1250,1250,N,NONE,NONE,NONE,8002
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,TOMHARDY,1,200,1400,1400,N,NONE,NONE,NONE,TH 024
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,FACTUAL,1,200,850,850,N,NONE,NONE,NONE,93520
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,TOM HARDY,1,200,1180,1180,N,NONE,NONE,NONE,TH 18013
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,VIV HERO,1,200,980,980,N,NONE,NONE,NONE,V 009
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,EYEQUE,1,200,480,480,N,NONE,NONE,NONE,M 5150
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,COLOR FRY,1,200,1050,1050,N,NONE,NONE,NONE,8001
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,GLOBUS,11,200,2100,2100,N,NONE,NONE,NONE,GFD 12043
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,COMBAT,17,200,600,600,N,NONE,NONE,NONE,COMBAT
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,DISTANCE,1,200,500,500,N,NONE,NONE,NONE,8804/5
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,COTAHASH,1,200,500,500,N,NONE,NONE,NONE,8804
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,CITRON ,4,200,950,950,N,NONE,NONE,NONE,8001/2
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,BANRAYS,2,200,800,800,N,NONE,NONE,NONE,BR 3491
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,SPECSI,1,200,1200,1200,N,NONE,NONE,NONE,MOD 7007
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,SPECSI,1,200,1400,1400,N,NONE,NONE,NONE,M 9012
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,PURES,1,200,650,650,N,NONE,NONE,NONE,8805/02
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,LAMY,2,200,980,980,N,NONE,NONE,NONE,M 3003
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,NINTEENDREAM,1,200,780,780,N,NONE,NONE,NONE,TR 007
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,TOO LOOK,8,200,600,600,N,NONE,NONE,NONE,TOO LOOK
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,DOUINVE,1,200,780,780,N,NONE,NONE,NONE,8010/09
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,CIGAR,2,200,1500,1500,N,NONE,NONE,NONE,52117/18
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,GOLDSTAR,5,200,980,980,N,NONE,NONE,NONE,GB 21244
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,GLOBUS,1,200,1980,1980,N,NONE,NONE,NONE,GB 24036
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,GLOBUS,2,200,2380,2380,N,NONE,NONE,NONE,GFD 12013
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,DANDK DELUX,1,200,2500,2500,N,NONE,NONE,NONE,D&K DELUX
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,GLOBUS,10,200,2100,2100,N,NONE,NONE,NONE,GFD 12038
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,RADIANCE,8,200,880,880,N,NONE,NONE,NONE,M F5
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,POSITIVE BR 500,12,200,500,500,N,NONE,NONE,NONE,POSITIVE BR 500
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,TOP-8,3,200,530,530,N,NONE,NONE,NONE,TOP-8
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,NESS,5,200,980,980,N,NONE,NONE,NONE,NESS
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,SEVENSTAR,1,200,1780,1780,N,NONE,NONE,NONE,M 2509
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,SPECSI,2,200,1800,1800,N,NONE,NONE,NONE,MOD S 121
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,GLOBUS,1,200,2180,2180,N,NONE,NONE,NONE,GFD 11014
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,GLOBUS,6,200,2180,2180,N,NONE,NONE,NONE,GBA 416
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,GOLDSTAR,11,200,1300,1300,N,NONE,NONE,NONE,GSK 5559
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,SPECSI,4,200,1800,1800,N,NONE,NONE,NONE,11402
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,GLOBUS,2,200,1300,1300,N,NONE,NONE,NONE,GB
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,SPECSI ,2,200,1250,1250,N,NONE,NONE,NONE,M 101
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,SPECSI,1,200,1550,1550,N,NONE,NONE,NONE,M 301
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,BABY-BEE,3,200,980,980,N,NONE,NONE,NONE,M 564
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,POSITIVE BR 600,26,200,600,600,N,NONE,NONE,NONE,POSITIVE BR 600
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,SPECSI,5,200,1680,1680,N,NONE,NONE,NONE,MOD-S 205
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,SPECSI,1,200,1550,1550,N,NONE,NONE,NONE,M 909
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,SPECSI,2,200,1550,1550,N,NONE,NONE,NONE,MOD 1123
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,AURA,1,200,880,880,N,NONE,NONE,NONE,AURA
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,TIDE CHUG,6,200,880,880,N,NONE,NONE,NONE,TIDE CHUG
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,WING COMMANDER,3,200,800,800,N,NONE,NONE,NONE,9612
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,KNIGHT HORSE,3,200,800,800,N,NONE,NONE,NONE,KNIGHT HORSE
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,GLOBUS,1,200,1980,1980,N,NONE,NONE,NONE,GB 23017
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,GLOBUS,2,200,1800,1800,N,NONE,NONE,NONE,GFD 12023
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,GLOBUS,4,200,2300,2300,N,NONE,NONE,NONE,GAM 5053
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,GYS 3001,1,200,1680,1680,N,NONE,NONE,NONE,GYS 3001
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,GYS 3003,2,200,1680,1680,N,NONE,NONE,NONE,GYS 3003
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,SPECSI,4,200,1400,1400,N,NONE,NONE,NONE,93715
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,SPECSI,2,200,1450,1450,N,NONE,NONE,NONE,93705
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,RAJVEER MTL,8,200,480,480,N,NONE,NONE,NONE,RAJVEER MTL
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,SIGNATURE,1,200,1380,1380,N,NONE,NONE,NONE,HD 2129
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,BLUE BLAST,2,200,1500,1500,N,NONE,NONE,NONE,M 5187
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,SPECSI,2,200,1250,1250,N,NONE,NONE,NONE,M 8008
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,GOLDSTAR,1,200,880,880,N,NONE,NONE,NONE,9546
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,RAJVEER  ,8,200,480,480,N,NONE,NONE,NONE,901
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,GLOBUS,6,200,1980,1980,N,NONE,NONE,NONE,GB 24020
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,FRILL,7,200,780,780,N,NONE,NONE,NONE,FRILL
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,POSITIVE 650,16,200,650,650,N,NONE,NONE,NONE,POSITIVE 650
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,CORAL-EEF,3,200,1400,1400,N,NONE,NONE,NONE,CORAL-EEF
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,S-FLEX,6,200,1650,1650,N,NONE,NONE,NONE,6037/35
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,CURL SIDE,4,200,980,980,N,NONE,NONE,NONE,M 124
